"Subject"	"Stim"	"Exp"	"Letter"	"Direction"	"Shot"	"Time"	"Answer"	"Video"	"count_ExperimentLoop"	"item"	"repeat."	"response"	"RT"	"time_ScreenForResponse"	"correct"
"1196"	"7"	"116"	"1"	"q"	"2"	"10"	"3"	1	"S10C2T3"	0	NA	NA	"q"	632	14736	""
"1428"	"8"	"168"	"1"	"q"	"2"	"10"	"3"	1	"S10C2T3"	0	NA	NA	"q"	635	32760	"t3"
"1465"	"9"	"25"	"1"	"q"	"2"	"10"	"3"	1	"S10C2T3"	0	NA	NA	"q"	360	22700	"t3"
"1671"	"10"	"51"	"1"	"q"	"2"	"10"	"3"	1	"S10C2T3"	0	NA	NA	"q"	335	63591	"t3"
"1954"	"11"	"154"	"2"	"q"	"2"	"10"	"3"	1	"S10C2T3"	0	NA	NA	"q"	1072	52040	"t3"
"2044"	"12"	"64"	"2"	"q"	"2"	"10"	"3"	0	"S10C2T3"	0	NA	NA	"p"	1220	82298	""
"2320"	"13"	"160"	"2"	"q"	"2"	"10"	"3"	1	"S10C2T3"	0	NA	NA	"q"	498	33109	""
"2402"	"14"	"62"	"2"	"q"	"2"	"10"	"3"	0	"S10C2T3"	0	NA	NA	"p"	2844	4939	""
"2661"	"15"	"141"	"2"	"q"	"2"	"10"	"3"	1	"S10C2T3"	0	NA	NA	"q"	334	13435	"t3"
"2762"	"16"	"62"	"2"	"q"	"2"	"10"	"3"	0	"S10C2T3"	0	NA	NA	"p"	2844	4939	""
"3046"	"17"	"166"	"2"	"q"	"2"	"10"	"3"	0	"S10C2T3"	0	NA	NA	"p"	1375	81786	""
"3206"	"18"	"146"	"2"	"q"	"2"	"10"	"3"	1	"S10C2T3"	0	NA	NA	"q"	1128	3832	"t3"
"3377"	"19"	"137"	"2"	"q"	"2"	"10"	"3"	1	"S10C2T3"	0	NA	NA	"q"	51	43024	"t3"
"3571"	"20"	"151"	"2"	"q"	"2"	"10"	"3"	1	"S10C2T3"	0	NA	NA	"q"	639	22706	"t3"
"175"	"1"	"175"	"1"	"m"	"3"	"10"	"1"	0	"S10C3T1"	0	NA	NA	"x"	508	22700	""
"298"	"2"	"118"	"1"	"m"	"3"	"10"	"1"	0	"S10C3T1"	0	NA	NA	"x"	858	19394	""
"454"	"3"	"94"	"1"	"m"	"3"	"10"	"1"	0	"S10C3T1"	0	NA	NA	"x"	453	20948	""
"589"	"4"	"49"	"1"	"m"	"3"	"10"	"1"	0	"S10C3T1"	0	NA	NA	"q"	1682	60402	""
"827"	"5"	"107"	"1"	"m"	"3"	"10"	"1"	0	"S10C3T1"	0	NA	NA	"x"	1117	15911	""
"1078"	"6"	"178"	"1"	"m"	"3"	"10"	"1"	0	"S10C3T1"	0	NA	NA	"x"	1323	9321	""
"1153"	"7"	"73"	"1"	"m"	"3"	"10"	"1"	0	"S10C3T1"	0	NA	NA	"x"	2962	14736	""
"1372"	"8"	"112"	"1"	"m"	"3"	"10"	"1"	0	"S10C3T1"	0	NA	NA	"q"	920	32760	""
"1615"	"9"	"175"	"1"	"m"	"3"	"10"	"1"	0	"S10C3T1"	0	NA	NA	"x"	508	22700	""
"1798"	"10"	"178"	"1"	"m"	"3"	"10"	"1"	0	"S10C3T1"	0	NA	NA	"q"	1222	63591	""
"1835"	"11"	"35"	"2"	"m"	"3"	"10"	"1"	0	"S10C3T1"	0	NA	NA	"q"	1549	52040	""
"2122"	"12"	"142"	"2"	"m"	"3"	"10"	"1"	0	"S10C3T1"	0	NA	NA	"p"	921	82298	""
"2181"	"13"	"21"	"2"	"m"	"3"	"10"	"1"	0	"S10C3T1"	0	NA	NA	"p"	1539	33109	""
"2504"	"14"	"164"	"2"	"m"	"3"	"10"	"1"	1	"S10C3T1"	0	NA	NA	"m"	3626	4939	"t1"
"2680"	"15"	"160"	"2"	"m"	"3"	"10"	"1"	1	"S10C3T1"	0	NA	NA	"m"	596	13435	"t1"
"2864"	"16"	"164"	"2"	"m"	"3"	"10"	"1"	1	"S10C3T1"	0	NA	NA	"m"	3626	4939	"t1"
"3021"	"17"	"141"	"2"	"m"	"3"	"10"	"1"	0	"S10C3T1"	0	NA	NA	"q"	1513	81786	""
"3191"	"18"	"131"	"2"	"m"	"3"	"10"	"1"	0	"S10C3T1"	0	NA	NA	"q"	914	3832	""
"3416"	"19"	"176"	"2"	"m"	"3"	"10"	"1"	0	"S10C3T1"	0	NA	NA	"x"	324	43024	""
"3588"	"20"	"168"	"2"	"m"	"3"	"10"	"1"	0	"S10C3T1"	0	NA	NA	"x"	1144	22706	""
"177"	"1"	"177"	"1"	"m"	"3"	"10"	"2"	0	"S10C3T2"	0	NA	NA	"x"	546	22700	""
"291"	"2"	"111"	"1"	"m"	"3"	"10"	"2"	0	"S10C3T2"	0	NA	NA	"q"	840	19394	""
"488"	"3"	"128"	"1"	"m"	"3"	"10"	"2"	0	"S10C3T2"	0	NA	NA	"q"	362	20948	""
"612"	"4"	"72"	"1"	"m"	"3"	"10"	"2"	0	"S10C3T2"	0	NA	NA	"p"	638	60402	""
"740"	"5"	"20"	"1"	"m"	"3"	"10"	"2"	0	"S10C3T2"	0	NA	NA	"q"	1374	15911	""
"904"	"6"	"4"	"1"	"m"	"3"	"10"	"2"	1	"S10C3T2"	0	NA	NA	"m"	811	9321	"t2"
"1084"	"7"	"4"	"1"	"m"	"3"	"10"	"2"	0	"S10C3T2"	0	NA	NA	"p"	1893	14736	""
"1409"	"8"	"149"	"1"	"m"	"3"	"10"	"2"	0	"S10C3T2"	0	NA	NA	"q"	726	32760	""
"1617"	"9"	"177"	"1"	"m"	"3"	"10"	"2"	0	"S10C3T2"	0	NA	NA	"x"	546	22700	""
"1704"	"10"	"84"	"1"	"m"	"3"	"10"	"2"	0	"S10C3T2"	0	NA	NA	"p"	1911	63591	""
"1822"	"11"	"22"	"2"	"m"	"3"	"10"	"2"	0	"S10C3T2"	0	NA	NA	"x"	2880	52040	""
"2143"	"12"	"163"	"2"	"m"	"3"	"10"	"2"	0	"S10C3T2"	0	NA	NA	"p"	740	82298	""
"2190"	"13"	"30"	"2"	"m"	"3"	"10"	"2"	0	"S10C3T2"	0	NA	NA	"x"	2588	33109	""
"2447"	"14"	"107"	"2"	"m"	"3"	"10"	"2"	0	"S10C3T2"	0	NA	NA	"x"	2299	4939	""
"2676"	"15"	"156"	"2"	"m"	"3"	"10"	"2"	0	"S10C3T2"	0	NA	NA	"p"	573	13435	""
"2807"	"16"	"107"	"2"	"m"	"3"	"10"	"2"	0	"S10C3T2"	0	NA	NA	"x"	2299	4939	""
"3015"	"17"	"135"	"2"	"m"	"3"	"10"	"2"	0	"S10C3T2"	0	NA	NA	"p"	1018	81786	""
"3171"	"18"	"111"	"2"	"m"	"3"	"10"	"2"	0	"S10C3T2"	0	NA	NA	"q"	517	3832	""
"3321"	"19"	"81"	"2"	"m"	"3"	"10"	"2"	1	"S10C3T2"	0	NA	NA	"m"	347	43024	"t2"
"3442"	"20"	"22"	"2"	"m"	"3"	"10"	"2"	0	"S10C3T2"	0	NA	NA	"q"	1310	22706	""
"52"	"1"	"52"	"1"	"m"	"3"	"10"	"3"	0	"S10C3T3"	0	NA	NA	"x"	731	22700	""
"351"	"2"	"171"	"1"	"m"	"3"	"10"	"3"	0	"S10C3T3"	0	NA	NA	"q"	700	19394	""
"417"	"3"	"57"	"1"	"m"	"3"	"10"	"3"	0	"S10C3T3"	0	NA	NA	"q"	289	20948	""
"573"	"4"	"33"	"1"	"m"	"3"	"10"	"3"	0	"S10C3T3"	0	NA	NA	"p"	544	60402	""
"876"	"5"	"156"	"1"	"m"	"3"	"10"	"3"	0	"S10C3T3"	0	NA	NA	"q"	966	15911	""
"997"	"6"	"97"	"1"	"m"	"3"	"10"	"3"	0	"S10C3T3"	0	NA	NA	"q"	401	9321	""
"1133"	"7"	"53"	"1"	"m"	"3"	"10"	"3"	0	"S10C3T3"	0	NA	NA	"p"	1045	14736	""
"1378"	"8"	"118"	"1"	"m"	"3"	"10"	"3"	0	"S10C3T3"	0	NA	NA	"q"	894	32760	""
"1492"	"9"	"52"	"1"	"m"	"3"	"10"	"3"	0	"S10C3T3"	0	NA	NA	"x"	731	22700	""
"1654"	"10"	"34"	"1"	"m"	"3"	"10"	"3"	0	"S10C3T3"	0	NA	NA	"p"	981	63591	""
